organization-id;device-id;time-base-schedule-number;time-base-schedule-month;time-base-schedule-day;time-base-schedule-date;time-base-schedule-day-plan;day-plan-hour;day-plan-minute;date;time;offset;holiday-table;tod-flags;meter-action
Caltrans;169;2;8190;124;4294967294;111;5;40;20191024;090857;-0700;"";;fixedRate
Caltrans;169;3;8190;254;4294967294;80;9;30;20191024;090857;-0700;"";;dark
Caltrans;168;1;8190;124;4294967294;63;5;30;20191024;090857;-0700;"";;trafficResponsive
Caltrans;168;2;8190;254;4294967294;80;9;30;20191024;090857;-0700;"";;dark
Caltrans;167;1;8190;124;4294967294;63;5;30;20191024;090857;-0700;"";;trafficResponsive
Caltrans;167;2;8190;124;4294967294;106;8;0;20191024;090857;-0700;"";;fixedRate
Caltrans;167;3;8190;254;4294967294;80;9;30;20191024;090857;-0700;"";;dark
Caltrans;220;1;8190;124;4294967294;63;5;30;20191024;090857;-0700;"";;trafficResponsive
Caltrans;220;2;8190;254;4294967294;80;9;30;20191024;090857;-0700;"";;dark
Caltrans;180;1;8190;124;4294967294;63;5;30;20191024;090857;-0700;"";;trafficResponsive
Caltrans;180;2;8190;254;4294967294;80;9;30;20191024;090857;-0700;"";;dark
Caltrans;180;3;8190;124;4294967294;191;14;0;20191024;090857;-0700;"";PM_responsive_tables;trafficResponsive
Caltrans;180;4;8190;254;4294967294;208;19;0;20191024;090857;-0700;"";PM_responsive_tables;dark
Caltrans;221;1;8190;124;4294967294;63;5;30;20191024;090857;-0700;"";;trafficResponsive
Caltrans;221;2;8190;254;4294967294;80;9;30;20191024;090857;-0700;"";;dark
Caltrans;181;1;8190;124;4294967294;63;5;30;20191024;090857;-0700;"";;trafficResponsive
Caltrans;181;2;8190;254;4294967294;80;9;30;20191024;090857;-0700;"";;dark
Caltrans;181;3;8190;124;4294967294;191;15;0;20191024;090857;-0700;"";PM_responsive_tables;trafficResponsive
Caltrans;181;4;8190;254;4294967294;208;19;0;20191024;090857;-0700;"";PM_responsive_tables;dark
Caltrans;224;1;8190;124;4294967294;97;5;30;20191024;090857;-0700;"";;fixedRate
Caltrans;224;2;8190;124;4294967294;111;6;0;20191024;090857;-0700;"";;fixedRate
Caltrans;224;3;8190;124;4294967294;102;9;30;20191024;090857;-0700;"";;fixedRate
Caltrans;224;4;8190;124;4294967294;97;10;30;20191024;090857;-0700;"";;fixedRate
Caltrans;224;5;8190;254;4294967294;80;11;0;20191024;090857;-0700;"";;dark
Caltrans;224;6;8190;124;4294967294;238;14;0;20191024;090857;-0700;"";PM_responsive_tables;fixedRate
Caltrans;224;7;8190;124;4294967294;225;17;0;20191024;090857;-0700;"";PM_responsive_tables;fixedRate
Caltrans;224;8;8190;254;4294967294;208;19;0;20191024;090857;-0700;"";PM_responsive_tables;dark
Caltrans;11611;1;8190;124;4294967294;191;15;0;20191024;090858;-0700;"";PM_responsive_tables;trafficResponsive
Caltrans;11611;2;8190;254;4294967294;208;19;0;20191024;090858;-0700;"";PM_responsive_tables;dark
Caltrans;226;1;8190;124;4294967294;65;5;30;20191024;090857;-0700;"";;trafficResponsive
Caltrans;226;2;8190;254;4294967294;80;11;0;20191024;090857;-0700;"";;dark
Caltrans;226;3;8190;124;4294967294;193;14;0;20191024;090857;-0700;"";PM_responsive_tables;trafficResponsive
Caltrans;226;4;8190;254;4294967294;208;19;0;20191024;090857;-0700;"";PM_responsive_tables;dark
Caltrans;11610;1;8190;124;4294967294;191;15;0;20191024;090858;-0700;"";PM_responsive_tables;trafficResponsive
Caltrans;11610;2;8190;124;4294967294;225;15;1;20191024;090858;-0700;"";PM_responsive_tables;fixedRate
Caltrans;11610;3;8190;254;4294967294;208;19;0;20191024;090858;-0700;"";PM_responsive_tables;dark
Caltrans;225;1;8190;124;4294967294;225;15;0;20191024;090857;-0700;"";PM_responsive_tables;fixedRate
Caltrans;225;2;8190;124;4294967294;239;16;0;20191024;090857;-0700;"";PM_responsive_tables;fixedRate
Caltrans;225;3;8190;254;4294967294;208;19;0;20191024;090857;-0700;"";PM_responsive_tables;dark
Caltrans;228;1;8190;124;4294967294;239;15;0;20191024;090857;-0700;"";PM_responsive_tables;fixedRate
Caltrans;228;2;8190;254;4294967294;208;19;0;20191024;090857;-0700;"";PM_responsive_tables;dark
Caltrans;11612;1;8190;124;4294967294;191;15;0;20191024;090858;-0700;"";PM_responsive_tables;trafficResponsive
Caltrans;11612;2;8190;254;4294967294;80;19;0;20191024;090858;-0700;"";;dark
Caltrans;227;1;8190;124;4294967294;106;5;30;20191024;090857;-0700;"";;fixedRate
Caltrans;227;2;8190;124;4294967294;97;8;30;20191024;090857;-0700;"";;fixedRate
Caltrans;227;3;8190;254;4294967294;80;11;0;20191024;090857;-0700;"";;dark
Caltrans;227;4;8190;124;4294967294;180;14;0;20191024;090857;-0700;"";PM_responsive_tables;trafficResponsive
Caltrans;227;5;8190;124;4294967294;225;14;30;20191024;090857;-0700;"";PM_responsive_tables;fixedRate
Caltrans;227;6;8190;254;4294967294;208;19;0;20191024;090857;-0700;"";PM_responsive_tables;dark
Caltrans;229;1;8190;124;4294967294;191;15;0;20191024;090857;-0700;"";PM_responsive_tables;trafficResponsive
Caltrans;229;2;8190;254;4294967294;208;19;0;20191024;090857;-0700;"";PM_responsive_tables;dark
Caltrans;18004;1;8190;124;4294967294;191;15;0;20191024;090858;-0700;"";PM_responsive_tables;trafficResponsive
Caltrans;18004;2;8190;254;4294967294;208;19;0;20191024;090858;-0700;"";PM_responsive_tables;dark
Caltrans;64;1;8190;124;4294967294;191;15;0;20191024;090857;-0700;"";PM_responsive_tables;trafficResponsive
Caltrans;64;2;8190;254;4294967294;208;19;0;20191024;090857;-0700;"";PM_responsive_tables;dark
Caltrans;18003;1;8190;124;4294967294;63;5;30;20191024;090858;-0700;"";;trafficResponsive
Caltrans;18003;2;8190;254;4294967294;80;9;30;20191024;090858;-0700;"";;dark
Caltrans;190;1;8190;124;4294967294;63;5;30;20191024;090857;-0700;"";;trafficResponsive
Caltrans;190;2;8190;254;4294967294;80;9;30;20191024;090857;-0700;"";;dark
Caltrans;190;3;8190;124;4294967294;226;15;30;20191024;090857;-0700;"";PM_responsive_tables;fixedRate
Caltrans;190;4;8190;124;4294967294;234;16;30;20191024;090857;-0700;"";PM_responsive_tables;fixedRate
Caltrans;190;5;8190;124;4294967294;226;17;30;20191024;090857;-0700;"";PM_responsive_tables;fixedRate
Caltrans;190;6;8190;254;4294967294;208;18;30;20191024;090857;-0700;"";PM_responsive_tables;dark
Caltrans;66;1;8190;124;4294967294;99;5;30;20191024;090857;-0700;"";;fixedRate
Caltrans;66;2;8190;254;4294967294;80;9;30;20191024;090857;-0700;"";;dark
Caltrans;66;3;8190;124;4294967294;191;15;0;20191024;090857;-0700;"";PM_responsive_tables;trafficResponsive
Caltrans;66;4;8190;124;4294967294;226;15;1;20191024;090857;-0700;"";PM_responsive_tables;fixedRate
Caltrans;66;5;8190;254;4294967294;208;19;0;20191024;090857;-0700;"";PM_responsive_tables;dark
Caltrans;65;1;8190;124;4294967294;191;15;0;20191024;090857;-0700;"";PM_responsive_tables;trafficResponsive
Caltrans;65;2;8190;254;4294967294;208;19;0;20191024;090857;-0700;"";PM_responsive_tables;dark
Caltrans;18009;1;8190;124;4294967294;63;5;30;20191024;090858;-0700;"";;trafficResponsive
Caltrans;18009;2;8190;254;4294967294;80;9;30;20191024;090858;-0700;"";;dark
Caltrans;10903;1;8190;124;4294967294;63;5;30;20191024;090858;-0700;"";;trafficResponsive
Caltrans;10903;2;8190;254;4294967294;80;9;30;20191024;090858;-0700;"";;dark
Caltrans;179;1;8190;124;4294967294;98;5;30;20191024;090857;-0700;"";;fixedRate
Caltrans;179;2;8190;254;4294967294;80;9;30;20191024;090857;-0700;"";;dark
Caltrans;179;3;8190;124;4294967294;226;15;0;20191024;090857;-0700;"";PM_responsive_tables;fixedRate
Caltrans;179;4;8190;254;4294967294;208;19;0;20191024;090857;-0700;"";PM_responsive_tables;dark
Caltrans;11503;1;8190;124;4294967294;191;15;0;20191024;090858;-0700;"";PM_responsive_tables;trafficResponsive
Caltrans;11503;2;8190;254;4294967294;208;19;0;20191024;090858;-0700;"";PM_responsive_tables;dark
Caltrans;11502;1;8190;124;4294967294;191;15;0;20191024;090858;-0700;"";PM_responsive_tables;trafficResponsive
Caltrans;11502;2;8190;254;4294967294;208;19;0;20191024;090858;-0700;"";PM_responsive_tables;dark
Caltrans;12211;1;8190;124;4294967294;63;5;30;20191024;090858;-0700;"";;trafficResponsive
Caltrans;12211;2;8190;254;4294967294;80;11;0;20191024;090858;-0700;"";;dark
Caltrans;358;1;8190;124;4294967294;228;15;0;20191024;090857;-0700;"";PM_responsive_tables;fixedRate
Caltrans;358;2;8190;124;4294967294;225;18;0;20191024;090857;-0700;"";PM_responsive_tables;fixedRate
Caltrans;358;3;8190;254;4294967294;208;19;0;20191024;090857;-0700;"";PM_responsive_tables;dark
Caltrans;11501;1;8190;124;4294967294;191;15;0;20191024;090858;-0700;"";PM_responsive_tables;trafficResponsive
Caltrans;11501;2;8190;124;4294967294;177;15;1;20191024;090858;-0700;"";PM_responsive_tables;trafficResponsive
Caltrans;11501;3;8190;254;4294967294;208;19;0;20191024;090858;-0700;"";PM_responsive_tables;dark
Caltrans;12212;1;8190;124;4294967294;191;15;0;20191024;090858;-0700;"";PM_responsive_tables;trafficResponsive
Caltrans;12212;2;8190;254;4294967294;208;19;0;20191024;090858;-0700;"";PM_responsive_tables;dark
