orgId;deviceId;meterPlanId;meterRate;AMaxRate;AtableIniMeasure;AtableDelta;PMaxRate;PtableIniMeasure;PtableDelta;iniVolume;deltaVolume;startupThreshold;shutdownThreshold;v1selDuration
Caltrans;11810;p;0;0;0;0;15;5.3;0.13;1875;25;1850;1450;1
Caltrans;11411;a;0;0;0;0;15;8.3;0.3;0;0;0;0;1
Caltrans;11411;p;0;0;0;0;15;8.3;0.3;1450;40;1350;1050;1
Caltrans;11410;a;0;0;0;0;15;6;0.19;0;0;0;0;1
Caltrans;11410;p;0;0;0;0;15;6;0.19;1200;21;1250;1000;1
Caltrans;122;a;0;0;0;0;15;9.5;0.27;0;0;0;0;1
Caltrans;122;p;0;0;0;0;15;9.5;0.27;0;0;0;0;1
Caltrans;123;a;0;0;0;0;15;8.3;0.21;0;0;0;0;1
Caltrans;123;p;0;0;0;0;15;8.3;0.21;1300;36;1100;900;1
Caltrans;128;a;0;0;0;0;15;9.5;0.24;0;0;0;0;1
Caltrans;128;p;0;0;0;0;15;9.5;0.24;1700;15;1675;1300;1
Caltrans;126;a;0;0;0;0;15;8.3;0.24;0;0;0;0;1
Caltrans;126;p;0;0;0;0;15;8.3;0.24;1300;31;1300;1100;1
Caltrans;127;a;0;0;0;0;15;8.6;0.25;0;0;0;0;1
Caltrans;127;p;0;0;0;0;15;8.6;0.25;1650;25;1650;1400;1
Caltrans;10811;a;0;15;9.5;0.15;0;0;0;1750;18;1400;1200;1
Caltrans;10811;p;0;15;9.5;0.15;0;0;0;0;0;0;0;1
Caltrans;11312;a;0;15;8.3;0.26;0;0;0;1200;14;1150;900;1
Caltrans;11312;p;0;15;8.3;0.26;0;0;0;0;0;0;0;1
Caltrans;15901;a;0;15;9.5;0.3;0;0;0;2000;11;1800;1300;1
Caltrans;15901;p;0;15;9.5;0.3;0;0;0;0;0;0;0;1
Caltrans;14004;a;0;15;6;0.22;0;0;0;1610;16;1600;1200;1
Caltrans;14004;p;0;15;6;0.22;0;0;0;0;0;0;0;1
Caltrans;130;a;0;0;0;0;15;9.5;0.3;0;0;0;0;0
Caltrans;130;p;0;0;0;0;15;9.5;0.3;1700;36;1504;1250;0
Caltrans;132;a;0;0;0;0;15;8.3;0.21;0;0;0;0;1
Caltrans;132;p;0;0;0;0;15;8.3;0.21;1700;21;1600;1300;1
Caltrans;131;a;0;0;0;0;15;9.5;0.27;0;0;0;0;1
Caltrans;131;p;0;0;0;0;15;9.5;0.27;0;0;0;0;1
Caltrans;324;a;0;15;8.3;0.09;0;0;0;1150;46;1050;700;1
Caltrans;324;p;0;15;8.3;0.09;0;0;0;0;0;0;0;1
Caltrans;320;a;0;15;8.3;0.09;0;0;0;1850;25;1825;600;1
Caltrans;320;p;0;15;8.3;0.09;0;0;0;0;0;0;0;1
Caltrans;10512;a;0;0;0;0;15;8.3;0.18;0;0;0;0;1
Caltrans;10512;p;0;0;0;0;15;8.3;0.18;1376;50;1391;1142;1
Caltrans;319;a;0;15;7.8;0.14;0;0;0;750;15;700;525;1
Caltrans;319;p;0;15;7.8;0.14;0;0;0;0;0;0;0;1
Caltrans;10411;a;0;0;0;0;15;9.5;0.26;0;0;0;0;1
Caltrans;10411;p;0;0;0;0;15;9.5;0.26;1515;7;1550;1150;1
Caltrans;91;a;0;15;8.3;0.3;0;0;0;1300;15;1275;1000;1
Caltrans;91;p;0;15;8.3;0.3;0;0;0;0;0;0;0;1
Caltrans;16213;a;0;15;8.3;0.11;0;0;0;1650;32;1500;1104;1
Caltrans;16213;p;0;15;8.3;0.11;0;0;0;0;0;0;0;1
Caltrans;16210;a;0;15;8.3;0.26;15;8.3;0.2;1600;36;1500;1200;1
Caltrans;16210;p;0;15;8.3;0.26;15;8.3;0.2;1700;24;1660;1200;1
Caltrans;11705;a;0;0;0;0;15;6.4;0.16;0;0;0;0;1
Caltrans;11705;p;0;0;0;0;15;6.4;0.16;1290;36;1250;975;1
Caltrans;402;a;0;15;8.3;0.13;0;0;0;636;29;600;550;1
Caltrans;402;p;0;15;8.3;0.13;0;0;0;0;0;0;0;1
Caltrans;11706;a;0;0;0;0;15;9.5;0.27;0;0;0;0;1
Caltrans;11706;p;0;0;0;0;15;9.5;0.27;1400;21;1350;950;1
Caltrans;207;a;0;0;0;0;15;9.5;0.28;0;0;0;0;1
Caltrans;207;p;0;0;0;0;15;9.5;0.28;1650;14;1600;1200;1
Caltrans;10403;a;0;0;0;0;15;8.3;0.26;0;0;0;0;1
Caltrans;10403;p;0;0;0;0;15;8.3;0.26;1500;15;1450;1150;1
Caltrans;205;a;0;15;8.3;0.29;15;8;0.28;1000;32;975;750;1
Caltrans;205;p;0;15;8.3;0.29;15;8;0.28;1050;39;1000;800;1
Caltrans;11901;a;0;0;0;0;15;6.4;0.2;0;0;0;0;1
Caltrans;11901;p;0;0;0;0;15;6.4;0.2;1650;10;1550;1200;1
