deviceId;status;operationalMode;mainlineFlow;currentPlanId;currentRate;carsPerLane
RMIS.212;on;dark;610;0;0;2
RMIS.10106;on;dark;0;0;0;1
RMIS.211;on;dark;575;0;0;2
RMIS.170;on;dark;482;0;0;2
RMIS.10504;on;dark;505;0;0;1
RMIS.216;on;holdNonMeter;422;0;0;2
RMIS.214;on;dark;649;0;0;2
RMIS.11605;on;dark;257;0;0;2
RMIS.11606;on;dark;3866624;0;0;2
RMIS.11603;on;dark;227;0;0;2
RMIS.218;on;dark;3145728;0;0;1
RMIS.11604;on;dark;280;0;0;2
RMIS.11609;on;dark;305;0;0;1
RMIS.10502;on;dark;242;0;0;1
RMIS.10109;on;dark;3866624;0;0;2
RMIS.10107;on;dark;296;0;0;1
RMIS.11508;on;dark;500;0;0;1
RMIS.57;on;dark;356;0;0;1
RMIS.56;on;dark;177;0;0;1
RMIS.11507;on;dark;427;0;0;2
RMIS.11504;on;dark;3276800;0;0;1
RMIS.240;on;dark;0;0;0;1
RMIS.16307;on;dark;322;0;0;2
RMIS.11209;on;dark;302;0;0;1
RMIS.242;on;dark;0;0;0;2
RMIS.241;on;dark;500;0;0;1
RMIS.16201;on;dark;402;0;0;1
RMIS.16303;on;dark;355;0;0;2
RMIS.16203;on;dark;425;0;0;2
RMIS.14203;on;dark;420;0;0;1
RMIS.16205;on;dark;372;0;0;2
RMIS.14201;on;dark;263;0;0;1
RMIS.248;on;dark;700;0;0;1
RMIS.249;on;dark;651;0;0;2
RMIS.243;on;dark;0;0;0;1
RMIS.246;on;dark;352;0;0;2
RMIS.341;on;dark;617;0;0;2
RMIS.340;on;dark;807;0;0;2
RMIS.11107;on;dark;3670016;0;0;2
RMIS.11105;on;dark;180;0;0;1
RMIS.13112;on;dark;3211264;0;0;2
RMIS.13113;on;dark;682;0;0;1
RMIS.11205;on;dark;538;0;0;2
RMIS.88;on;dark;715;0;0;2
RMIS.11203;on;dark;310;0;0;2
RMIS.87;on;dark;665;0;0;1
RMIS.230;on;dark;490;0;0;2
RMIS.199;on;dark;280;0;0;1
RMIS.197;on;dark;410;0;0;1
RMIS.239;on;dark;326;0;0;2
RMIS.198;on;dark;420;0;0;2
RMIS.195;on;dark;446;0;0;1
RMIS.196;on;dark;383;0;0;2
RMIS.236;on;dark;443;0;0;2
RMIS.193;on;dark;460;0;0;2
RMIS.235;on;dark;720;0;0;1
RMIS.194;on;dark;430;0;0;2
RMIS.234;on;dark;446;0;0;1
RMIS.191;on;dark;533;0;0;1
RMIS.233;on;dark;670;0;0;2
RMIS.192;on;dark;463;0;0;1
RMIS.73;on;dark;327;0;0;2
RMIS.72;on;dark;3866624;0;0;2
RMIS.18012;on;dark;306;0;0;1
RMIS.71;on;holdNonMeter;352;0;0;2
RMIS.13105;on;dark;655360;0;0;2
RMIS.13103;on;dark;754;0;0;2
RMIS.77;on;dark;330;0;0;1
RMIS.13106;on;dark;546;0;0;1
RMIS.78;on;dark;300;0;0;1
RMIS.267;on;dark;3866624;0;0;2
RMIS.18406;on;dark;405;0;0;1
RMIS.15101;on;dark;495;0;0;1
RMIS.14804;on;dark;210;0;0;1
RMIS.12510;on;dark;572;0;0;2
RMIS.13805;on;holdNonMeter;135;0;0;1
RMIS.23;on;Dark;296;7471104;0;0
RMIS.12711;on;dark;580;0;0;1
RMIS.24;on;dark;333;0;0;1
RMIS.14803;on;dark;315;0;0;1
RMIS.21;on;dark;600;0;0;1
RMIS.13804;on;holdNonMeter;245;0;0;2
RMIS.22;on;dark;296;0;0;1
